ANG,LOV,JOY,SAD,ARO,VAL,DOM,MOD,IND,IMP,CON,SUB,POL,NEG,POS,COR,SEN,SPO,radioSilence,missingLinks,orgSilo,smelly,quitter,project
0.032624113,0.073758865,0.10070922,0.229787234,0.998325601,1.492943131,1.480687849,0.636231348,0.653900709,0.045390071,0.29929078,0.00141844,0.434042553,-0.18456755,0.231605152,0,2.717730496,0,1,1,0,1,0,Hadoop Common
0.226950355,0.022695035,0.066666667,0.272340426,0.992580343,1.4612614,1.448058163,0.612512199,0.70212766,0.026950355,0.266666667,0.004255319,0.44964539,-0.181941935,0.157128797,0,5.880851064,0,1,1,1,1,1,Hadoop Common
0,0,0,0.333333333,0.902678967,1.239353023,1.242181633,0.6396,0.333333333,0,0.666666667,0,0.333333333,-0.0187,0,0,4.666666667,0,1,0,0,1,0,Hadoop Common
0.02723505,0.174067496,0.084073416,0.187685021,0.908198093,1.38429605,1.36469197,0.641168206,0.716400237,0.039076377,0.242747188,0.001776199,0.604499704,-0.14701148,0.220001224,12,3.432208407,0,1,1,1,1,1,Hadoop Common
0.011346445,0.188350983,0.138426626,0.147503782,0.790360008,1.177838333,1.156401105,0.685936233,0.71785174,0.045385779,0.234493192,0.002269289,0.410741301,-0.156060897,0.261101447,11,2.518154312,0,1,1,1,1,0,Hadoop Common
0.043478261,0.086956522,0.086956522,0.304347826,0.860785762,1.312896848,1.292507022,0.365904348,0.47826087,0,0.52173913,0,0.565217391,-0.1458,0.19435,0,3.304347826,0,1,0,0,1,0,Hadoop Common
0,0,0,0.2,1.17421103,1.6637601,1.7024795,0.45734,0.4,0,0.6,0,0.4,-0.122333333,0.4167,0,4,0,1,0,0,1,0,Hadoop Common
0.022328549,0.057416268,0.081339713,0.326953748,0.942446972,1.40757813,1.403895645,0.547814833,0.519936204,0.059011164,0.416267943,0.004784689,0.476874003,-0.11397541,0.171,6,4.791068581,0,1,1,1,1,1,Hadoop Common
0,0,0,0,1.6987097,2.1780646,2.4070969,0.75,0,0,1,0,1,0,0.4,0,2,0,1,0,0,1,0,Hadoop Common
0,0,0,0,0.81403365,1.29015125,1.27398323,0.75,0.5,0,0.5,0,1,-0.5,0.2083,0,3.5,0,1,0,0,1,0,Hadoop Common
0,0.037735849,0.072327044,0.141509434,0.799460166,1.242169603,1.211877804,0.754123585,0.795597484,0.022012579,0.179245283,0.003144654,0.374213836,-0.168429268,0.232161719,3,2.452830189,0,1,1,1,1,1,Hadoop Common
0.023696682,0.061611374,0.066350711,0.090047393,1.044542666,1.528213168,1.562614659,0.782494313,0.805687204,0.023696682,0.165876777,0.004739336,0.260663507,-0.166404545,0.232919737,0,2.644549763,0,1,1,1,1,1,Hadoop Common
0.045454545,0,0.068181818,0.159090909,0.879576393,1.350034562,1.346769635,0.537777273,0.659090909,0.045454545,0.272727273,0.022727273,0.5,-0.085641667,0.249463158,0,3.045454545,0,1,0,0,1,0,Hadoop Common
0,0,0,0,1.1808,1.724,1.77,0.75,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,Hadoop Common
0,0,0.333333333,1.333333333,1.0773747,1.623910733,1.625441133,0.226566667,0,0.333333333,0.666666667,0,1,0,0.075033333,0,8,0,1,0,0,1,0,Hadoop Common
0,0,0,0,0.69861114,1.13,1.1530555,0.3333,0,0,1,0,1,0,0,0,2,0,1,0,0,1,0,Hadoop Common
0,0,0,0,1.0641619,1.374422,1.3139306,0.75,1,0,0,0,1,0,0,0,2,0,1,0,0,1,0,Hadoop Common
0,0,0,0.5,1.3385135,2.1079054,1.9427027,0.875,1,0,0,0,0.5,-0.2,0,0,3.5,0,1,0,0,1,0,Hadoop Common
